Name,Ticket Price,Top Prize,Odds,Original Tickets,Current Tickets,Expected Value,ROI,Total Prize Pool Remaining
money-maker,5.0,"$100,000",1:4.94,1297639.2000000002,80467.66,-2.263745459977338,-45.27490919954676,220180.0
sapphire-blue,5.0,"$100,000",1:4.31,1289375.2899999998,115848.48999999999,-2.3136033106689604,-46.27206621337921,311215.0
jumbo-bucks-limited,10.0,"$200,000",1:3.81,992958.39,297743.88,-2.3915816506455148,-23.915816506455148,2265360.0
pink-panther-diamond-tripler,5.0,"$100,000",1:4.26,926094.1799999999,50272.259999999995,-2.553422105948688,-51.068442118973756,122995.0
bonus-cashword,5.0,"$75,000",1:4.32,1315980.0,97809.12000000001,-2.6251192117872035,-52.502384235744074,232285.0
my-lottery-dream-home,20.0,"$500,000",1:3.46,918896.42,124317.8,-2.6739211922990904,-13.36960596149545,2153940.0
red-hot-cash,10.0,"$200,000",1:4.07,854793.6100000001,570980.3,-2.6892398914638562,-26.89239891463856,4174300.0
triple-red-7s,10.0,"$200,000",1:3.83,881011.0700000001,881011.0700000001,-2.817105010950658,-28.17105010950658,6328210.0
spectacular-riches,10.0,"$200,000",1:4.59,879489.9,491295.24,-2.911787624891298,-29.11787624891298,3482405.0
50x-the-money,10.0,"$200,000",1:3.59,1129848.39,610138.45,-3.044627821767338,-30.446278217673377,4243740.0
cash-winfall,10.0,"$100,000",1:4.77,1764322.8299999998,600953.22,-3.1572294429173704,-31.572294429173702,4112185.0
200000-fortune-2,10.0,"$200,000",1:4.64,3235397.76,863165.2799999999,-3.2455577916665046,-32.45557791666505,5830200.0
10000-payout,10.0,"$10,000",1:3.83,1205335.47,70571.58,-3.2873828246441414,-32.87382824644142,473720.0
200x-cash-blitz,20.0,"$500,000",1:4.66,2703279.98,631765.52,-4.107268152272699,-20.536340761363494,10040480.0
200000-jackpot,10.0,"$200,000",1:4.22,1255239.0,77458.09999999999,-4.407750771062032,-44.077507710620324,433165.0
hamilton,10.0,"$200,000",1:3.84,1130227.2,48983.04,-4.497891515104003,-44.978915151040034,269510.0
100x-cash-blitz,10.0,"$200,000",1:3.82,1039070.5599999999,30281.14,-4.6197534174737145,-46.19753417473714,162920.0
win-it-all,10.0,"$200,000",1:3.98,1889166.7,82815.84,-4.831423553754934,-48.314235537549344,428040.0
500000-extreme-cash,20.0,"$500,000",1:3.45,1258104.6,1116865.05,-4.874188694507007,-24.370943472535032,16893490.0
colossal-cash,20.0,"$500,000",1:3.50,1571038.0,942256.0,-5.044531422458441,-25.2226571122922,14091880.0
100-million-extravaganza,20.0,"$500,000",1:3.40,7528514.6,640604.2,-5.611037205188476,-28.05518602594238,9217630.0
